DateTime,MemUsedMB,DiskUsedMB,Load1,Load5,Load15
10:21-06/19/24,304,1716,0.00,0.00,0.00
12:23-06/19/24,696,4518,0.05,0.03,0.05
13:21-06/19/24,698,4519,0.09,0.09,0.02
14:20-06/19/24,704,4520,0.27,0.12,0.09
15:21-06/19/24,702,4529,0.12,0.08,0.02
16:21-06/19/24,703,4530,0.16,0.13,0.04
17:20-06/19/24,710,4529,0.13,0.08,0.08
18:22-06/19/24,716,4530,0.01,0.06,0.02
19:17-06/19/24,711,4531,0.23,0.08,0.02
20:20-06/19/24,727,4540,0.18,0.12,0.05
21:20-06/19/24,718,4539,0.07,0.08,0.08
22:20-06/19/24,719,4540,0.12,0.08,0.04
23:20-06/19/24,722,4540,0.04,0.10,0.04
00:26-06/20/24,724,4541,0.25,0.10,0.05
01:38-06/20/24,723,4548,0.08,0.11,0.04
02:24-06/20/24,717,4549,0.00,0.03,0.05
03:21-06/20/24,720,4549,0.19,0.07,0.04
04:21-06/20/24,726,4550,0.10,0.04,0.01
05:20-06/20/24,726,4557,0.05,0.02,0.00
06:22-06/20/24,729,4558,0.00,0.06,0.02
07:19-06/20/24,737,4558,0.00,0.03,0.01
08:22-06/20/24,741,4559,0.05,0.04,0.06
09:21-06/20/24,724,4566,0.00,0.02,0.00
10:21-06/20/24,730,4567,0.03,0.06,0.02
11:18-06/20/24,746,4568,
12:23-06/20/24,723,4569,0.09,0.05,0.01
13:21-06/20/24,728,4576,0.01,0.02,0.00
14:20-06/20/24,733,4577,0.18,0.13,0.05
15:21-06/20/24,727,4578,0.05,0.04,0.00
16:22-06/20/24,737,4579,0.03,0.04,0.01
17:19-06/20/24,733,4577,0.01,0.05,0.06
18:22-06/20/24,734,4586,0.00,0.02,0.04
19:18-06/20/24,744,4586,0.00,0.02,0.02
20:20-06/20/24,741,4587,0.07,0.09,0.03
21:20-06/20/24,738,4586,0.00,0.07,0.07
22:20-06/20/24,737,4587,0.17,0.06,0.01
23:21-06/20/24,747,4595,0.01,0.04,0.00
